customer_id,cpf_hash,name,email,phone,city,state,created_at,status,ingestion_timestamp,source_file,row_number,is_valid,error_msg
C0001,hash_0001_3286,Ana Oliveira,ana.oliveira@outlook.com,21939958838,Campinas,SP,2024-01-07,active,2026-05-11T14:13:19.836452+00:00,data/raw/customers.csv,1,true,
C0002,hash_0002_2535,Bruno Oliveira,bruno.oliveira@empresa.com.br,11913999315,Londrina,PR,2024-01-23,active,2026-05-11T14:13:19.836482+00:00,data/raw/customers.csv,2,true,
C0003,hash_0003_9928,Carla Santos,carla.santos@email.com,71936687537,Londrina,PR,2024-06-03,inactive,2026-05-11T14:13:19.836495+00:00,data/raw/customers.csv,3,true,
C0004,hash_0004_7924,Diego Santos,diego.santos@outlook.com,11931429110,Curitiba,PR,2024-05-30,active,2026-05-11T14:13:19.836505+00:00,data/raw/customers.csv,4,true,
C0005,hash_0005_7224,Fernanda Lima,fernanda.lima@outlook.com,11922448136,Santos,SP,2024-02-25,active,2026-05-11T14:13:19.836517+00:00,data/raw/customers.csv,5,true,
C0006,hash_0006_9785,Gabriel Rocha,gabriel.rocha@outlook.com,11971662963,Belo Horizonte,MG,2024-06-03,active,2026-05-11T14:13:19.836527+00:00,data/raw/customers.csv,6,true,
C0007,hash_0007_4150,Helena Cardoso,,71958537831,Uberlândia,MG,2024-01-21,active,2026-05-11T14:13:19.836537+00:00,data/raw/customers.csv,7,true,
C0008,hash_0008_2654,Igor Silva,igor.silva@outlook.com,11941244663,Rio de Janeiro,RJ,2024-07-16,inactive,2026-05-11T14:13:19.836546+00:00,data/raw/customers.csv,8,true,
C0009,hash_0009_6820,Juliana Lima,juliana.lima@outlook.com,21959684848,Curitiba,PR,2024-06-11,active,2026-05-11T14:13:19.836554+00:00,data/raw/customers.csv,9,true,
C0010,hash_0010_3803,Lucas Oliveira,lucas.oliveira@email.com,71995225343,Niterói,RJ,2024-06-28,blocked,2026-05-11T14:13:19.836565+00:00,data/raw/customers.csv,10,true,
C0011,hash_0011_4598,Mariana Souza,mariana.souza@empresa.com.br,41946231783,Rio de Janeiro,RJ,2024-02-11,active,2026-05-11T14:13:19.836575+00:00,data/raw/customers.csv,11,true,
C0012,hash_0012_5386,Rafael Barbosa,rafael.barbosa@email.com,,São Paulo,SP,2024-02-28,active,2026-05-11T14:13:19.836588+00:00,data/raw/customers.csv,12,true,
C0013,hash_0013_9179,Patricia Santos,patricia.santos@outlook.com,21997971488,Salvador,BA,2024-08-12,inactive,2026-05-11T14:13:19.836597+00:00,data/raw/customers.csv,13,true,
C0014,hash_0014_9830,Thiago Cardoso,thiago.cardoso@outlook.com,21943101783,Curitiba,PR,2024-02-06,active,2026-05-11T14:13:19.836605+00:00,data/raw/customers.csv,14,true,
C0015,hash_0015_3266,Camila Souza,camila.souza@empresa.com.br,31939436733,Salvador,BA,2024-04-19,blocked,2026-05-11T14:13:19.836615+00:00,data/raw/customers.csv,15,true,
C0016,hash_0016_3621,Rodrigo Almeida,rodrigo.almeida@email.com,11930514014,Campinas,SP,2024-07-12,inactive,2026-05-11T14:13:19.836623+00:00,data/raw/customers.csv,16,true,
C0017,hash_0017_9669,Beatriz Pereira,beatriz.pereira@empresa.com.br,71972820592,Campinas,SP,08/04/2024,active,2026-05-11T14:13:19.836633+00:00,data/raw/customers.csv,17,true,
C0018,hash_0018_6573,Eduardo Freitas,eduardo.freitas@email.com,71945812670,São Paulo,SP,2024-06-23,active,2026-05-11T14:13:19.836642+00:00,data/raw/customers.csv,18,true,
C0019,hash_0019_9201,Larissa Lima,,11945351479,Uberlândia,MG,2024-02-10,active,2026-05-11T14:13:19.836650+00:00,data/raw/customers.csv,19,true,
C0020,hash_0020_4258,Felipe Freitas,felipe.freitas@outlook.com,71991734598,Campinas,SP,2024-08-10,active,2026-05-11T14:13:19.836658+00:00,data/raw/customers.csv,20,true,
C0021,hash_0021_9005,Aline Rocha,aline.rocha@email.com,71953507489,Santos,SP,2024-05-18,active,2026-05-11T14:13:19.836666+00:00,data/raw/customers.csv,21,true,
C0022,hash_0022_4946,Matheus Costa,matheus.costa@outlook.com,21917774584,Belo Horizonte,MG,2024-08-12,blocked,2026-05-11T14:13:19.836674+00:00,data/raw/customers.csv,22,true,
C0023,hash_0023_3060,Vanessa Costa,vanessa.costa@empresa.com.br,11981498611,Campinas,SP,2024/07/06,active,2026-05-11T14:13:19.836683+00:00,data/raw/customers.csv,23,true,
C0024,hash_0024_7932,Gustavo Oliveira,gustavo.oliveira@gmail.com,31980823176,Curitiba,PR,2024-05-20,active,2026-05-11T14:13:19.836692+00:00,data/raw/customers.csv,24,true,
C0025,hash_0025_7118,Renata Cardoso,renata.cardoso@gmail.com,31963551839,Londrina,PR,,inactive,2026-05-11T14:13:19.836702+00:00,data/raw/customers.csv,25,true,
C0026,hash_0026_2049,João Cardoso,joao.cardoso@email.com,21940158366,Londrina,PR,2024-04-25,active,2026-05-11T14:13:19.836711+00:00,data/raw/customers.csv,26,true,
C0027,hash_0027_1117,Priscila Silva,priscila.silva@gmail.com,71939557077,Salvador,BA,2024-05-21,active,2026-05-11T14:13:19.836719+00:00,data/raw/customers.csv,27,true,
C0028,hash_0028_2160,André Souza,andre.souza@email.com,11954349361,São Paulo,SP,2024-02-28,blocked,2026-05-11T14:13:19.836733+00:00,data/raw/customers.csv,28,true,
C0029,hash_0029_3167,Natália Santos,natália.santos@empresa.com.br,21982374753,Niterói,RJ,2024-06-20,blocked,2026-05-11T14:13:19.836742+00:00,data/raw/customers.csv,29,true,
C0030,hash_0030_2545,Caio Pereira,caio.pereira@empresa.com.br,41935556386,Curitiba,PR,2024-03-03,active,2026-05-11T14:13:19.836752+00:00,data/raw/customers.csv,30,true,
C0031,hash_0031_1887,Bianca Oliveira,bianca.oliveira@empresa.com.br,41972682989,Uberlândia,MG,2024-03-31,active,2026-05-11T14:13:19.836763+00:00,data/raw/customers.csv,31,true,
C0032,hash_0032_4139,Leonardo Silva,leonardo.silva@outlook.com,11943374088,Uberlândia,MG,2024-07-05,active,2026-05-11T14:13:19.836771+00:00,data/raw/customers.csv,32,true,
C0033,hash_0033_8579,Isabela Freitas,isabela.freitas@empresa.com.br,,Curitiba,PR,2024-02-05,active,2026-05-11T14:13:19.836779+00:00,data/raw/customers.csv,33,true,
C0034,hash_0034_9856,Marcelo Barbosa,marcelo.barbosa@email.com,11997529405,Campinas,SP,23/04/2024,active,2026-05-11T14:13:19.836787+00:00,data/raw/customers.csv,34,true,
C0035,hash_0035_4502,Tatiane Costa,tatiane.costa@empresa.com.br,41974606833,Rio de Janeiro,RJ,2024-02-12,inactive,2026-05-11T14:13:19.836797+00:00,data/raw/customers.csv,35,true,
C0036,hash_0036_5345,Vinicius Cardoso,vinicius.cardoso@empresa.com.br,11962401521,São Paulo,SP,2024-02-12,inactive,2026-05-11T14:13:19.836807+00:00,data/raw/customers.csv,36,true,
